album,year,track,flac,gp,match,notes
A Higher Place,2009,Rebirth,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/01 - Rebirth.flac,,no,
A Higher Place,2009,Elimination,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/02 - Elimination.flac,,no,
A Higher Place,2009,The Accountable,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/03 - The Accountable.flac,,no,
A Higher Place,2009,Now Arise,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/04 - Now Arise.flac,Born_Of_Osiris-Now_Arise-s63753.gp,unknown,
A Higher Place,2009,Live Like I'm Real,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/05 - Live Like I'm Real.flac,musicnoteslib/Born_Of_Osiris-Live_Like_Im_Real.gp5,unknown,
A Higher Place,2009,Starved,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/06 - Starved.flac,,no,
A Higher Place,2009,Exist,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/07 - Exist.flac,Born_Of_Osiris-Exist-s66500.gp,unknown,
A Higher Place,2009,Put To Rest,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/08 - Put To Rest.flac,,no,
A Higher Place,2009,A Descent,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/09 - A Descent.flac,Born_Of_Osiris-A_Descent-s66506.gp,unknown,
A Higher Place,2009,A Higher Place,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/10 - A Higher Place.flac,,no,
